TYPE	FLUENT	DISFLUENT
1: Filler	प्रधानमंत्री ने कहा कि आमतौर पर पूछी जाने वाली जानकारी सम्बद्ध विभागों और मंत्रालयों के वेब पोर्टलों पर अपलोड की जा रही है।	प्रधानमंत्री ने कहा कि आमतौर पर पूछी जाने वाली जानकारी सम्बद्ध विभागों और मंत्रालयों के वेब पोर्टलों पर अपलोड वो की जा रही है।
1: Filler	यह इसलिए ताकि सुनिश्चित किया जा सके कि जमीनी स्तर तक डिजिटल भुगतानों की संस्कृति पहुंचे।	यह इसलिए ताकि सुनिश्चित किया जा सके कि क्या कहते है जमीनी स्तर तक डिजिटल भुगतानों की संस्कृति पहुंचे।
1: Filler	उन्होंने कहा कि यह वास्तव में दुर्भाग्यपूर्ण है कि आजादी की शुरुआत में जिन कमजोरियों की पहचान की गई थी उन्हें आज तक पूरी तरह खत्म नहीं किया जा सका है।	उन्होंने कहा कि यह वास्तव में दुर्भाग्यपूर्ण है कि आजादी की शुरुआत में जिन कमजोरियों की आ पहचान की गई थी उन्हें आज तक पूरी तरह खत्म नहीं किया जा सका है।
1: Filler	यह भारत द्वारा किया गया अब तक का सबसे बड़ा व्यवसायिक और आर्थिक सुधार है।	यह भारत द्वारा किया गया अब तक का सबसे मेरा मतलब बड़ा व्यवसायिक और आर्थिक सुधार है।
1: Filler	मैंने कहा क्यों?	मैंने कहा क्या कहते है क्यों?
1: Filler	पानी ही पानी नज़र आएगा तब फसल होगी।	पानी ही पानी नज़र आएगा मेरी मतलब तब फसल होगी।
1: Filler	वन और इसके वन्य जीव क्षेत्र एक मुक्त खजाना है जिसे बंद नहीं किया जा सकता।	वन क्या बोलते है और इसके वन्य जीव क्षेत्र एक मुक्त खजाना है जिसे बंद नहीं किया जा सकता।
1: Filler	कई विद्वानों ने हिन्दुत्व पर बुद्ध के प्रभाव का विश्लेषण किया है।	कई विद्वानों ने हिन्दुत्व पर क्या बोलते है बुद्ध के प्रभाव का विश्लेषण किया है।
1: Filler	आपके ही हौसले का परिणाम है कि इस मुश्किल प्रोजेक्ट को हम पूरा कर पाए हैं।	आपके ही हौसले का परिणाम तो है कि इस मुश्किल प्रोजेक्ट को हम पूरा कर पाए हैं।
1: Filler	भारतीय जनता पार्टी के घोर विरोध करने वाली उनकी विचार धारा थी।	भारतीय जनता पार्टी के घोर विरोध करने अ वाली उनकी विचार धारा थी।
1: Filler	दोनों पक्षों ने इन क्षेत्रों में सहयोग के लिए आपसी सहमति जताई थी।	दोनों पक्षों ने इन क्षेत्रों में क्या कहते है सहयोग के लिए आपसी सहमति जताई थी।
1: Filler	उन्होंने कहा कि इस योजना की विशेषता है न्यूनतम प्रीमियम द्वारा अधिकतम सुरक्षा।	उन्होंने कहा कि इस योजना की विशेषता है न्यूनतम प्रीमियम द्वारा क्या बोलते है अधिकतम सुरक्षा।
1: Filler	अटल बिहारी वाजपेयी जी ने झारखंड राज्य बनाया।	अटल बिहारी वाजपेयी जी ने अ झारखंड राज्य बनाया।
1: Filler	वो जब एक नया जोन बनता है तो यहां कि सुविधाओं पर एक विशेष निगरानी बनती है, कुशलता आती है और परिणाम मिलता है।	वो जब एक नया जोन बनता है तो यहां कि सुविधाओं पर एक क्या कहते है विशेष निगरानी बनती है, कुशलता आती है और परिणाम मिलता है।
1: Filler	इसलिए हेल्थकेयर व्यवस्था में इस भावना को लागू करना चाहिए।	इसलिए हेल्थकेयर व्यवस्था में क्या बोलते है इस भावना को लागू करना चाहिए।
1: Filler	प्रधानमंत्री श्री नरेन्द्र मोदी ने मैसूरू और केएसआर बेंगलूरू के बीच विद्युतीकरण वाली रेलवे लाइन आज राष्ट्र को समर्पित की।	प्रधानमंत्री क्या बोलते है श्री नरेन्द्र मोदी ने मैसूरू और केएसआर बेंगलूरू के बीच विद्युतीकरण वाली रेलवे लाइन आज राष्ट्र को समर्पित की।
1: Filler	प्राकृतिक सौंदर्य से भरपूर एवं उन्नति की ओर अग्रसर छत्तीसगढ़ के स्थापना दिवस पर लोगों को हार्दिक बधाई।	प्राकृतिक सौंदर्य से भरपूर एवं उन्नति की ओर अग्रसर छत्तीसगढ़ के स्थापना दिवस पर लोगों को हार्दिक मतलब बधाई।
1: Filler	ये उसका इतिहास रहा है।	ये क्या कहते है उसका इतिहास रहा है।
1: Filler	इन मेडिकल कॉलेजों से युवाओं को यहीं पर मेडिकल पढ़ाई का विकल्प तो मिलेगा ही, साथ में स्वास्थ्य सुविधाएं भी बेहतर होंगी।	इन मेडिकल कॉलेजों से युवाओं को यहीं पर अ मेडिकल पढ़ाई का विकल्प तो मिलेगा ही, साथ में स्वास्थ्य सुविधाएं भी बेहतर होंगी।
1: Filler	नेपाल भारत को महत्वपूर्ण विनिर्मित वस्तुएं निर्यात करता है।	नेपाल भारत को महत्वपूर्ण विनिर्मित वस्तुएं मेरी मतलब निर्यात करता है।
1: Filler	मुझे बताइए ये सेवा नहीं है क्या?	अ मुझे बताइए ये सेवा नहीं है क्या?
1: Filler	दलहित के लिए काम करने वाले लोग हम नहीं हैं और उसी के कारण हम संकल्प लेकर चल पड़े हैं।	दलहित के लिए काम करने वाले लोग हम नहीं हैं और उसी के कारण हम क्या बोलते है संकल्प लेकर चल पड़े हैं।
1: Filler	ऐसा भी नहीं है कि सरकारें बजट खर्च नहीं करती थी।	ऐसा भी नहीं है कि क्या बोलते है सरकारें बजट खर्च नहीं करती थी।
1: Filler	आज भारत के वैज्ञानिकों ने एक बहुत बड़ी सिद्धि प्राप्त की है।	आज भारत वो के वैज्ञानिकों ने एक बहुत बड़ी सिद्धि प्राप्त की है।
1: Filler	दुख की इस घड़ी में भारत के लोग शोकसंतप्त परिवारों के हृदयविदारक दुख और शोक में शरीक हैं और पाकिस्तान के लोगों के साथ एकजुट खड़े हैं।	दुख की इस घड़ी में भारत के लोग क्या कहते है शोकसंतप्त परिवारों के हृदयविदारक दुख और शोक में शरीक हैं और पाकिस्तान के लोगों के साथ एकजुट खड़े हैं।
1: Filler	अगर इसे ठीक तरह विकसित और बढ़ावा दिया जाए तो यह इस क्षेत्र में बड़े नियोक्ता के रूप उभर सकता है।	अगर इसे ठीक तरह विकसित और बढ़ावा दिया जाए तो यह इस क्षेत्र में बड़े मेरी मतलब नियोक्ता के रूप उभर सकता है।
1: Filler	ठीक है, पहले की तीन औद्योगिक क्रांति लगभग सौ साल के अंतराल पर आईं।	ठीक है, क्या कहते है पहले की तीन औद्योगिक क्रांति लगभग सौ साल के अंतराल पर आईं।
1: Filler	यह बहुत बड़ी बात है।	यह बहुत क्या बोलते है बड़ी बात है।
1: Filler	और आपको मालूम है, महात्मा गांधी क्या कहते थे?	और आपको मालूम है, क्या कहते है महात्मा गांधी क्या कहते थे?
1: Filler	लेकिन जो दूसरा पहलू है जो बहुत ही उमंग वाला है, आनन्द वाला है और मन को संतोष देने वाला है।	लेकिन जो दूसरा पहलू है जो बहुत ही उमंग वाला है, आनन्द वाला है और मन क्या कहते है को संतोष देने वाला है।
1: Filler	यह काम हिन्दुस्तान के वैज्ञानिकों के द्वारा होगा।	यह काम हिन्दुस्तान अ के वैज्ञानिकों के द्वारा होगा।
1: Filler	जहां जहां जरूरी था वहां प्रक्रिया को सरल बनाया गया है।	जहां जहां जरूरी था वहां प्रक्रिया को सरल बनाया मतलब गया है।
1: Filler	मैं एक सार्वजनिक सभा को संबोधित करूंगा।	मैं क्या बोलते है एक सार्वजनिक सभा को संबोधित करूंगा।
1: Filler	हम भारत पर इस निर्भरता को लेकर जागरूक हैं।	हम भारत पर इस निर्भरता को लेकर मेरी मतलब जागरूक हैं।
1: Filler	उसका परिणाम ये आया कि किसान मुझे कहने लगा कि साब हमें तो मालूम नहीं था कि हमारी मिट्टी ऐसी है।	उसका परिणाम ये आया कि किसान मुझे कहने लगा कि साब हमें तो मालूम नहीं था कि हमारी मिट्टी अ ऐसी है।
1: Filler	हर कोई बड़ों को ही पूछता था	हर कोई बड़ों को मेरा मतलब ही पूछता था।
1: Filler	कंपनी कानून न्यायाधिकरण का जल्द ही गठन किया जाएगा।	कंपनी क्या कहते है कानून न्यायाधिकरण का जल्द ही गठन किया जाएगा।
1: Filler	भारत और जापान के बीच हाई स्पीड रेलवे सहयोग हमारे सहयोग की ताकत का एक शानदार उदाहरण है।	भारत तो और जापान के बीच हाई स्पीड रेलवे सहयोग हमारे सहयोग की ताकत का एक शानदार उदाहरण है।
1: Filler	विदेशों से लाना बहुत महंगा पड़ रहा है।	विदेशों से क्या बोलते है लाना बहुत महंगा पड़ रहा है।
1: Filler	इतनी उत्तम प्रदर्शनी है, आपसे मेरा आग्रह है कि उसे सरसरी नजर से न देखें।	इतनी उत्तम क्या बोलते है प्रदर्शनी है, आपसे मेरा आग्रह है कि उसे सरसरी नजर से न देखें।
