TYPE	FLUENT	DISFLUENT
9: False Start	कधी कधी गावाच्या विकासाचा विषय निघतो तेव्हा बरेचसे लोक खर्चाबद्दल बोलत असतात.	मात्र हे सरकार केवळ बोलण्यावर कधी कधी गावाच्या विकासाचा विषय निघतो तेव्हा बरेचसे लोक खर्चाबद्दल बोलत असतात.
9: False Start	आणि आज मला अतिशय आनंद आहे की त्यांनी हा बदल घडवून आणला आहे. आज पूर्ण अमरेलीला या बदललेल्या स्थितीचा फायदा मिळाला आहे.	जगातल्या प्राचीन संस्कृतीपैकी आणि आज मला अतिशय आनंद आहे की त्यांनी हा बदल घडवून आणला आहे. आज पूर्ण अमरेलीला या बदललेल्या स्थितीचा फायदा मिळाला आहे.
9: False Start	मी आपल्याला एक घटना सांगू इच्छितो.	यासाठी तुमचे खूप मी आपल्याला एक घटना सांगू इच्छितो.
9: False Start	देशभरात काळजीचे वातावरण असणे हे स्वाभाविक आहे.	सामान्य माणूस देशभरात काळजीचे वातावरण असणे हे स्वाभाविक आहे.
9: False Start	त्या फोटो काढत होत्या.	त्यांनी नेहमी त्या फोटो काढत होत्या.
9: False Start	पैसे मिळोत ना मिळोत पुण्य तर मिळेल आणि म्हणूनच तर देशाला मी पुन्हा एकदा, आज पोहोचल्याबरोबर लोकांना वारंवार सांगणार आहे की प्रामाणिक लोकांचे रक्षण करण्यासाठी माझे सरकार सर्व काही करेल आणि बेइमान लोकांचा हिशोब चुकता केला जाईल.	कुणालाही त्रास द्यायचा पैसे मिळोत ना मिळोत पुण्य तर मिळेल आणि म्हणूनच तर देशाला मी पुन्हा एकदा, आज पोहोचल्याबरोबर लोकांना वारंवार सांगणार आहे की प्रामाणिक लोकांचे रक्षण करण्यासाठी माझे सरकार सर्व काही करेल आणि बेइमान लोकांचा हिशोब चुकता केला जाईल.
9: False Start	अशा प्रकारे देशातील सर्व घटक आणि प्रांतांना लाभ मिळेल.	आणि आज जेव्हा मला अशा प्रकारे देशातील सर्व घटक आणि प्रांतांना लाभ मिळेल.
9: False Start	प्रत्येक जण तंत्रज्ञानामुळे दुसरीकडे व्यस्त झाला आहे.	ते कंपन्यांना पैसे प्रत्येक जण तंत्रज्ञानामुळे दुसरीकडे व्यस्त झाला आहे.
9: False Start	या देशाच्या सामान्य जनतेची ताकत आपण ओळखा.	इतक्या कमी या देशाच्या सामान्य जनतेची ताकत आपण ओळखा.
9: False Start	जगायला शिकण्याचेही हेच तर वय असते.	मला खूप आश्चर्य जगायला शिकण्याचेही हेच तर वय असते.
9: False Start	पुढील काही महिन्यात आमचे सरकार चार वर्ष पूर्ण करत आहे.	त्यांच्या जीवनाला नवीन, पुढील काही महिन्यात आमचे सरकार चार वर्ष पूर्ण करत आहे.
9: False Start	आम्ही देशातील गरिबांच्या दुखाःचे भागीदार आहोत, आम्ही देशातील शेतकऱ्यांच्या पीडांचे भागीदार आहोत.	व्यापार करण्याचे सुलभ आम्ही देशातील गरिबांच्या दुखाःचे भागीदार आहोत, आम्ही देशातील शेतकऱ्यांच्या पीडांचे भागीदार आहोत.
9: False Start	याप्रसंगी, मी तिथे प्रत्यक्ष येऊ शकलो नाही याबाबत मला खेद वाटतो, मात्र तरीही लांबून उपस्थित राहता आले.	त्यावरही आम्ही विचार याप्रसंगी, मी तिथे प्रत्यक्ष येऊ शकलो नाही याबाबत मला खेद वाटतो, मात्र तरीही लांबून उपस्थित राहता आले.
9: False Start	आपल्याला कुठेही जाण्याची गरज नाही.	यामुळे अफगाणिस्तान आपल्याला कुठेही जाण्याची गरज नाही.
9: False Start	याआधी आपणही अनेक देशांपैकी एक होतो आज एक महत्वाचा देश म्हणून भारताकडे जग पहात आहे.	याची काही उदाहरणे मी याआधी आपणही अनेक देशांपैकी एक होतो आज एक महत्वाचा देश म्हणून भारताकडे जग पहात आहे.
9: False Start	मला या गोष्टीचा आनंद होत आहे की इथे केवळ नवीन व्यवस्थांची निर्मितीच होत नाही तर निधीची पर्यायी व्यवस्था देखील केली जात आहे.	कृषी आणि तत्सम मला या गोष्टीचा आनंद होत आहे की इथे केवळ नवीन व्यवस्थांची निर्मितीच होत नाही तर निधीची पर्यायी व्यवस्था देखील केली जात आहे.
9: False Start	आमचे नेतृत्व आणि कार्य पद्धती संपूर्ण भारताला परिचित आहे.	लाखो लोकांना आमचे नेतृत्व आणि कार्य पद्धती संपूर्ण भारताला परिचित आहे.
9: False Start	भ्रष्टाचार संपवण्यासाठी तुम्ही सूत्रं ताब्यात घ्या.	काही विचारवंत, एखाद्या पंचायती भ्रष्टाचार संपवण्यासाठी तुम्ही सूत्रं ताब्यात घ्या.
9: False Start	स्वच्छ भारत अभियानाचे उदाहरण देऊन ते म्हणाले की लोकांना सहभागी करून घेण्यासाठी योजनाबद्ध व्यवस्था गरजेची आहे.	जागतिक गुंतवणूकदार परिषदेत मी स्वच्छ भारत अभियानाचे उदाहरण देऊन ते म्हणाले की लोकांना सहभागी करून घेण्यासाठी योजनाबद्ध व्यवस्था गरजेची आहे.
9: False Start	त्यामुळे होते काय, की या अनुदानित युरियाची चोरी होते.	यापेक्षा मोठा जीवनातील त्यामुळे होते काय, की या अनुदानित युरियाची चोरी होते.
9: False Start	त्यांच्या निधनामुळे एका युगाचा अस्त झाला आहे.	आणि विचार त्यांच्या निधनामुळे एका युगाचा अस्त झाला आहे.
9: False Start	आणि ही आपली जबाबदारी आहे.	हो, त्या डिजीटल जगताच्या भाषेशी आणि ही आपली जबाबदारी आहे.
9: False Start	यावेळी पंतप्रधान म्हणाले की, गुजरातमध्ये पाणी पुरवठा हे प्रमुख आव्हान होते, मात्र त्या आव्हानाला यशस्वीपणे तोंड देण्यात आले.	या गोष्टीचे गांभीर्य सगळे सदस्य यावेळी पंतप्रधान म्हणाले की, गुजरातमध्ये पाणी पुरवठा हे प्रमुख आव्हान होते, मात्र त्या आव्हानाला यशस्वीपणे तोंड देण्यात आले.
9: False Start	आपल्याला, आपल्या पक्षाला ज्या ठिकाणी सत्तेत येऊन सेवेची संधी मिळाली असेल, आपण तेथून स्वच्छतेसाठी स्पर्धा करा.	इकडे जाण्याचा आपल्याला, आपल्या पक्षाला ज्या ठिकाणी सत्तेत येऊन सेवेची संधी मिळाली असेल, आपण तेथून स्वच्छतेसाठी स्पर्धा करा.
9: False Start	आपल्या तरुणांमध्ये ऊर्जाही आहे, कुतूहलदेखील आहे.	यामध्ये पर्यावरण स्नेही आपल्या तरुणांमध्ये ऊर्जाही आहे, कुतूहलदेखील आहे.
9: False Start	त्यांनी माझे भाषण ऐकले असेल, त्याविषयी चर्चा सुरू होती.	आपण असे त्यांनी माझे भाषण ऐकले असेल, त्याविषयी चर्चा सुरू होती.
9: False Start	युवकांकडून हीच अपेक्षा असते.	माझे लष्कर युवकांकडून हीच अपेक्षा असते.
9: False Start	आता पाण्याची गळती बंद करण्यात आली आहे.	ते एक आता पाण्याची गळती बंद करण्यात आली आहे.
9: False Start	भारताची या आजारांपासून सुटका करायची आहे.	त्यावर तो म्हटला, भारताची या आजारांपासून सुटका करायची आहे.
9: False Start	काही राज्यांमध्ये काही पिके महत्वाची किंवा विशेष असतात.	या दराने दैनंदिन काही राज्यांमध्ये काही पिके महत्वाची किंवा विशेष असतात.
9: False Start	विशेषतः महिलांसाठी याचे अधिक महत्त्व आहे.	मला त्यांच्या विशेषतः महिलांसाठी याचे अधिक महत्त्व आहे.
9: False Start	कोणी नावांवर भर दिला तर कोणी कामांवर भर दिला.	जेव्हा या शक्तीला आपण कोणी नावांवर भर दिला तर कोणी कामांवर भर दिला.
9: False Start	मी तुम्हा सर्वांच्या डोळ्यात नेपाळसाठी तिचं स्वप्ने पाहत आहे.	आपल्या सर्व मी तुम्हा सर्वांच्या डोळ्यात नेपाळसाठी तिचं स्वप्ने पाहत आहे.
9: False Start	पण कधी कधी हे विकासयात्रेसाठी अडथळा ठरते.	परंतु असे वाटते की, पण कधी कधी हे विकासयात्रेसाठी अडथळा ठरते.
9: False Start	सगळ्यांनाच हे आवडेल की नाही माहीत नाही, पण माझा अनुभव मला हेच सांगतो.	मात्र चार सगळ्यांनाच हे आवडेल की नाही माहीत नाही, पण माझा अनुभव मला हेच सांगतो.
1: Filler	पुरामुळे झालेले नुकसान, सुरू असलेले मदत कार्य, पूरग्रस्तांचे पुनर्वसन याविषयी पंतप्रधानांनी सविस्तर माहिती घेतली.	पुरामुळे झालेले नुकसान, सुरू असलेले म्हणे मदत कार्य, पूरग्रस्तांचे पुनर्वसन याविषयी पंतप्रधानांनी सविस्तर माहिती घेतली.
1: Filler	मी आज फुलांचे जे प्रदर्शन पाहिले त्यात व्हर्टीकल गार्डनची संकल्पना पाहायला मिळाली.	मी आज अं फुलांचे जे प्रदर्शन पाहिले त्यात व्हर्टीकल गार्डनची संकल्पना पाहायला मिळाली.
1: Filler	शहराची प्राचीन ओळख कायम ठेवत आधुनिकीकरण केले जात आहे असे ते म्हणाले.	शहराची प्राचीन ओळख कायम ठेवत आधुनिकीकरण केले जात आहे बरं का असे ते म्हणाले.
1: Filler	जग कशा प्रकारे बदलत आहे, ह्या बदलत्या जगात आपण कुठे उभे आहोत आणि आपल्याला नेमके कुठे पोहोचायचे आहे आणि आपण कुठे पोहोचू शकतो.	जग कशा प्रकारे बदलत आहे, ह्या बदलत्या जगात आपण कुठे उभे आहोत गं आणि आपल्याला नेमके कुठे पोहोचायचे आहे आणि आपण कुठे पोहोचू शकतो.
1: Filler	इथे मुलांच्या पोषणासाठी बाल अमूलच्या रचनेबाबत चांगले काम झाले आहे.	इथे मुलांच्या पोषणासाठी बाल अमूलच्या रचनेबाबत चांगले काम झाले आहे. बरं का
1: Filler	त्यांनी नेताजी सुभाषचंद्र बोस यांच्या कुटुंबीयांचीही भेट घेतली.	त्यांनी नेताजी सुभाषचंद्र बोस यांच्या कुटुंबीयांचीही भेट घेतली. हं बुवा
1: Filler	जी जितकी प्राचीन आहे तितकीच आधुनिकदेखील आहे.	जी जितकी प्राचीन आहे गं तितकीच आधुनिकदेखील आहे.
1: Filler	हे आम्हाला मान्य नाही.	हे आम्हाला मान्य नाही. बरं का
1: Filler	काळ कोणाचीच वाट पाहत नाही.	काळ पण ना कोणाचीच वाट पाहत नाही.
1: Filler	आपल्या देशात ही परिस्थिती आहे आणि मला ही परिस्थीती बदलायची आहे.	आपल्या देशात ही परिस्थिती आहे आणि मला गं ही परिस्थीती बदलायची आहे.
1: Filler	त्याचबरोबर आता पारादीप विकासाचे व्दीप बनण्यामध्ये अग्रेसर बनण्याच्या दिशेने वाटचाल करीत आहे.	त्याचबरोबर आता पारादीप विकासाचे व्दीप बनण्यामध्ये अग्रेसर बनण्याच्या दिशेने वाटचाल करीत आहे. बरं का
1: Filler	तुमच्या तोंडी लोकशाही शोभत नाही.	अं तुमच्या तोंडी लोकशाही शोभत नाही.
1: Filler	दुसरे म्हणजे समुपदेशन करायला कोणताही संकोच करू नये.	दुसरे म्हणजे समुपदेशन करायला कोणताही संकोच करू नये. बरं का
1: Filler	बाल लैंगिक गुन्ह्यांच्या वाढत्या प्रवृत्तीला आळा घालण्यासाठी ही दुरुस्ती करण्यात आली आहे.	बाल लैंगिक गुन्ह्यांच्या वाढत्या प्रवृत्तीला आळा घालण्यासाठी म्हणे ही दुरुस्ती करण्यात आली आहे.
